Bill,Perk,MasterCard-Perk,MasterCard-Tesco,Amex-Tesco,Amex-Perk,Optimal
117,112.32,111.89999999999999,114.21,115.83,111.19999999999999,Amex-Perk
118,113.28,112.86,115.18,116.82,112.15,Amex-Perk
119,114.24,113.82,116.15,117.81,113.1,Amex-Perk
120,115.19999999999999,114.77999999999999,117.12,118.8,114.04999999999998,Amex-Perk
121,116.16,115.74,118.12,119.79,115.0,Amex-Perk
122,117.11999999999999,116.69999999999999,119.09,120.78,115.94999999999999,Amex-Perk
123,118.08,117.66,120.06,121.77,116.89999999999999,Amex-Perk
124,119.03999999999999,118.61999999999999,121.03,122.76,117.85,Amex-Perk
125,120.0,119.55,122.0,123.75,118.8,Amex-Perk
126,120.96,120.50999999999999,123.0,124.74,119.75999999999999,Amex-Perk
127,121.92,121.47,123.97,125.73,120.71000000000001,Amex-Perk
128,122.88,122.42999999999999,124.94,126.72,121.66,Amex-Perk
129,123.83999999999999,123.38999999999999,125.91,127.71,122.60999999999999,Amex-Perk
130,124.8,124.35,126.88,128.7,123.56,Amex-Perk
131,125.75999999999999,125.30999999999999,127.88,129.69,124.50999999999999,Amex-Perk
132,126.72,126.27,128.85,130.68,125.46,Amex-Perk
133,127.67999999999999,127.22999999999999,129.82,131.67,126.41,Amex-Perk
134,128.64,128.16,130.79,132.66,127.35999999999999,Amex-Perk
135,129.6,129.12,131.76,133.65,128.31,Amex-Perk
136,130.56,130.08,132.76,134.64,129.26,Amex-Perk
137,131.51999999999998,131.04,133.73,135.63,130.20999999999998,Amex-Perk
138,132.48,132.0,134.7,136.62,131.16,Amex-Perk
139,133.44,132.96,135.67,137.61,132.10999999999999,Amex-Perk
140,134.4,133.92000000000002,136.64,138.6,133.06,Amex-Perk
141,135.35999999999999,134.88,137.64,139.59,134.01,Amex-Perk
142,136.32,135.81,138.61,140.58,134.95999999999998,Amex-Perk
143,137.28,136.77,139.58,141.57,135.91,Amex-Perk
144,138.24,137.73000000000002,140.55,142.56,136.86,Amex-Perk
145,139.2,138.69,141.52,143.55,137.81,Amex-Perk
146,140.16,139.65,142.52,144.54,138.76,Amex-Perk
147,141.12,140.61,143.49,145.53,139.71,Amex-Perk
148,142.07999999999998,141.57,144.46,146.52,140.66,Amex-Perk
149,143.04,142.53,145.43,147.51,141.60999999999999,Amex-Perk
150,144.0,143.46,146.4,148.5,142.56,Amex-Perk
151,144.96,144.42000000000002,147.4,149.49,143.52,Amex-Perk
152,145.92,145.38,148.37,150.48,144.47,Amex-Perk
153,146.88,146.34,149.34,151.47,145.42,Amex-Perk
154,147.84,147.3,150.31,152.46,146.37,Amex-Perk
155,148.79999999999998,148.26,151.28,153.45,147.32,Amex-Perk
156,149.76,149.22,152.28,154.44,148.26999999999998,Amex-Perk
157,150.72,150.18,153.25,155.43,149.22,Amex-Perk
158,151.68,151.14000000000001,154.22,156.42,150.17000000000002,Amex-Perk
159,152.64,152.07,155.19,157.41,151.11999999999998,Amex-Perk
160,153.6,153.03,156.16,158.4,152.07,Amex-Perk
161,154.56,153.99,157.16,159.39,153.02,Amex-Perk
162,155.51999999999998,154.95,158.13,160.38,153.96999999999997,Amex-Perk
163,156.48,155.91,159.1,161.37,154.92,Amex-Perk
164,157.44,156.87,160.07,162.36,155.87,Amex-Perk
165,158.4,157.83,161.04,163.35,156.82,Amex-Perk
166,159.35999999999999,158.79,162.04,164.34,157.76999999999998,Amex-Perk
167,160.32,159.72,163.01,165.33,158.72,Amex-Perk
168,161.28,160.68,163.98,166.32,159.67,Amex-Perk
169,162.23999999999998,161.64,164.95,167.31,160.61999999999998,Amex-Perk
170,163.2,162.6,165.92,168.3,161.57,Amex-Perk
171,164.16,163.56,166.92,169.29,162.52,Amex-Perk
172,165.12,164.52,167.89,170.28,163.47,Amex-Perk
173,166.07999999999998,165.48,168.86,171.27,164.42,Amex-Perk
174,167.04,166.44,169.83,172.26,165.37,Amex-Perk
175,168.0,167.37,170.8,173.25,166.32,Amex-Perk
176,168.95999999999998,168.32999999999998,171.8,174.24,167.27999999999997,Amex-Perk
177,169.92,169.29,172.77,175.23,168.23,Amex-Perk
178,170.88,170.25,173.74,176.22,169.18,Amex-Perk
179,171.84,171.21,174.71,177.21,170.13,Amex-Perk
180,172.79999999999998,172.17,175.68,178.2,171.07999999999998,Amex-Perk
181,173.76,173.13,176.68,179.19,172.03,Amex-Perk
182,174.72,174.09,177.65,180.18,172.98,Amex-Perk
183,175.68,175.05,178.62,181.17,173.93,Amex-Perk
184,176.64,175.98,179.59,182.16,174.88,Amex-Perk
185,177.6,176.94,180.56,183.15,175.82999999999998,Amex-Perk
186,178.56,177.9,181.56,184.14,176.78,Amex-Perk
187,179.51999999999998,178.85999999999999,182.53,185.13,177.73,Amex-Perk
188,180.48,179.82,183.5,186.12,178.67999999999998,Amex-Perk
189,181.44,180.78,184.47,187.11,179.63,Amex-Perk
190,182.4,181.74,185.44,188.1,180.58,Amex-Perk
191,183.35999999999999,182.7,186.44,189.09,181.52999999999997,Amex-Perk
192,184.32,183.63,187.41,190.08,182.48,Amex-Perk
193,185.28,184.59,188.38,191.07,183.43,Amex-Perk
194,186.23999999999998,185.54999999999998,189.35,192.06,184.37999999999997,Amex-Perk
195,187.2,186.51,190.32,193.05,185.32999999999998,Amex-Perk
196,188.16,187.47,191.32,194.04,186.28,Amex-Perk
197,189.12,188.43,192.29,195.03,187.23000000000002,Amex-Perk
198,190.07999999999998,189.39,193.26,196.02,188.17999999999998,Amex-Perk
199,191.04,190.35,194.23,197.01,189.13,Amex-Perk
200,192.0,191.28,195.2,198.0,190.08,Amex-Perk
